SampleID,DNAmAge,predictedGender
GSM491937,7.9414754944,male
GSM491938,14.66028053,male
GSM491939,134.1536761116,male
GSM491940,62.7939141641,male
GSM491941,66.9129999712,male
GSM491942,4.3975103815,male
GSM491943,50.4887481429,male
GSM491944,30.5635461212,male
GSM491945,30.9344976678,male
GSM491946,1.7524924963,male
GSM491947,6.0017491559,male
GSM491948,57.4428992439,male
GSM491949,205.0397823122,male
GSM491950,24.9302305178,male
GSM491951,89.5778177324,male
GSM491952,5.7415084668,male
GSM491953,62.5074800238,male
GSM491954,1.0420989242,male
GSM491955,16.2878795534,male
GSM491956,273.797855279,male
GSM491957,59.7311772288,male
GSM491958,79.044338151,male
GSM491959,79.3129231788,male
GSM491960,54.7529435715,male
GSM491961,46.0064149065,male
GSM491962,56.7442685467,male
GSM491963,44.0005497797,male
GSM491964,19.9637614658,male
GSM491965,91.061349265,male
GSM491966,102.4974012043,male
GSM491967,7.6445975231,male
GSM491968,22.9696595521,male
GSM491969,2.8654251081,male
GSM491970,55.7892880347,male
GSM491971,3.352162908,male
GSM491972,68.4214608454,male
GSM491973,78.5847625899,male
GSM491974,94.2679966155,male
GSM491975,63.9813518741,male
GSM491976,2.7887911441,male
GSM491977,53.7022287014,male
GSM491978,42.0730514309,male
GSM491979,43.8953980574,male
GSM491980,60.0173970179,male
GSM491981,6.5301562733,male
GSM491982,233.6133935245,male
GSM491983,61.2730174134,male
GSM491984,108.966676373,male
GSM491985,69.7270977807,male
GSM491986,90.2554913317,male
GSM491987,4.4660927898,male
GSM491988,13.6451255912,male
GSM491989,76.7376228791,male
GSM491990,86.0684796674,male
GSM491991,14.088855226,male
GSM491992,38.6384261644,male
GSM491993,8.423995123,male
GSM491994,40.4885743622,male
GSM491995,73.5492499717,male
GSM491996,57.7474723865,male
GSM491997,39.8408189201,male
GSM491998,0.2392744414,male
GSM491999,49.1516387992,male
GSM492000,45.1796244821,male
GSM492001,8.0501616333,male
GSM492002,68.9723451683,male
GSM492003,79.1020215141,male
GSM492004,4.8413648753,male
GSM492005,90.6615247587,male
GSM492006,10.9987676406,male
GSM492007,28.7628430874,male
GSM492008,123.3352027521,male
GSM492009,23.1533075012,male
GSM492010,41.7160503523,male
GSM492011,0.6572483391,male
GSM492012,27.6621315458,male
GSM492013,45.1388063115,male
GSM492014,80.0136342218,male
GSM492015,66.9440438983,male
GSM492016,86.9520715208,male
GSM492017,56.3412484687,male
GSM492018,155.673453341,male
GSM492019,59.2958029705,male
GSM492020,129.000967349,male
GSM492021,26.3502882007,male
GSM492022,1.0402639302,male
GSM492023,74.5682301077,male
GSM492024,8.9758782026,male
GSM492025,11.9871406019,male
GSM492026,61.2099149479,male
GSM492027,93.0793423349,male
GSM492028,82.760494287,male
GSM492029,10.3933791278,male
GSM492030,26.904932902,male
GSM492031,8.9028357139,male
GSM492032,81.1771431352,male
GSM492033,101.8591673918,male
GSM492034,31.3770438078,male
GSM492035,-0.9404055718,male
GSM492036,3.6007899771,male
