"","SampleID","DNAmAge","predictedGender"
"1","GSM748577",66.7732655192394,"male"
"2","GSM748578",65.5164174628796,"male"
"3","GSM748579",49.2894205309238,"male"
"4","GSM748580",35.8098556494046,"male"
"5","GSM748581",59.138620982415,"male"
"6","GSM748582",48.0772234827398,"male"
"7","GSM748583",52.6385527287107,"female"
"8","GSM748584",61.2664933226491,"female"
"9","GSM748585",51.854383079103,"male"
"10","GSM748586",54.8949432862965,"male"
"11","GSM748587",58.8247247825699,"male"
"12","GSM748588",53.777614452974,"male"
"13","GSM748589",56.2291279891288,"male"
"14","GSM748590",51.355941832125,"male"
"15","GSM748591",28.3080485551033,"female"
"16","GSM748592",52.0773105044199,"male"
"17","GSM748593",76.3252963297807,"male"
"18","GSM748594",54.7031158495938,"male"
"19","GSM748595",55.4152547312636,"male"
"20","GSM748596",59.7699195719937,"male"
"21","GSM748597",63.2380704456886,"male"
"22","GSM748598",59.848067489077,"female"
"23","GSM748599",68.409731819476,"male"
"24","GSM748600",73.4334436441886,"male"
"25","GSM748601",55.6387495316261,"male"
"26","GSM748602",56.7733927386831,"male"
"27","GSM748603",56.0300357771641,"female"
"28","GSM748604",58.591983586826,"female"
"29","GSM748605",81.7480365052496,"female"
"30","GSM748606",65.4037743064134,"male"
"31","GSM748607",62.2513794981595,"male"
"32","GSM748608",58.0514319512104,"male"
"33","GSM748609",69.174028961983,"male"
"34","GSM748610",44.0771189428506,"female"
"35","GSM748611",116.897135771608,"male"
"36","GSM748612",58.9681834627821,"male"
"37","GSM748613",57.7119283965638,"male"
"38","GSM748614",29.7133644749588,"female"
"39","GSM748615",66.9558204566002,"male"
"40","GSM748616",60.1873514228879,"male"
"41","GSM748617",52.6800466537196,"female"
"42","GSM748618",72.1301035303351,"male"
"43","GSM748619",64.88683683287,"male"
"44","GSM748620",51.5026413588056,"male"
"45","GSM748621",31.4172773568137,"female"
"46","GSM748622",63.2309635462376,"male"
"47","GSM748623",44.8237415583529,"female"
"48","GSM748624",51.6902377025475,"male"
"49","GSM748625",55.3304373900483,"female"
"50","GSM748626",47.7912103956238,"female"
"51","GSM748627",51.3364840895006,"female"
"52","GSM748628",50.4108980690667,"female"
"53","GSM748629",54.9057669504106,"female"
"54","GSM748630",59.9996244386357,"male"
"55","GSM748631",63.9182052885111,"male"
"56","GSM748632",76.6863044058591,"male"
"57","GSM748633",77.4211344368491,"female"
"58","GSM748634",53.3435555675854,"male"
"59","GSM748635",37.8010719446412,"female"
"60","GSM748636",61.0713412298705,"male"
"61","GSM748637",62.1759990594675,"female"
"62","GSM748638",63.9219387373363,"male"
"63","GSM748639",55.7930567857253,"male"
"64","GSM748640",53.4889332335086,"male"
"65","GSM748641",64.7289957353224,"male"
"66","GSM748642",74.7535340818675,"male"
"67","GSM748643",79.0641591564364,"female"
"68","GSM748644",53.8275469819876,"female"
"69","GSM748645",59.6579606307465,"female"
"70","GSM748646",66.074027935955,"male"
"71","GSM748647",48.9963853544051,"male"
"72","GSM748648",62.7657952137796,"female"
"73","GSM748649",82.1468911272785,"male"
"74","GSM748650",43.3081955121706,"female"
"75","GSM748651",68.9028860361804,"male"
"76","GSM748652",57.4648002827677,"male"
"77","GSM748653",37.8116960282549,"male"
"78","GSM748654",64.7392474531663,"female"
"79","GSM748655",49.7325619035259,"male"
"80","GSM748656",66.0379622644161,"female"
"81","GSM748657",76.5672438253747,"female"
"82","GSM748658",49.8221884683758,"female"
"83","GSM748659",98.0988685213436,"male"
"84","GSM748660",53.18505867865,"female"
"85","GSM748661",64.8520201766335,"male"
"86","GSM748662",47.109064529855,"male"
"87","GSM748663",73.9671279696945,"male"
"88","GSM748664",77.5920449990783,"male"
"89","GSM748665",56.1333455683183,"female"
"90","GSM748666",64.4570949448836,"male"
"91","GSM748667",71.3271132797616,"male"
"92","GSM748668",63.5798148466355,"male"
"93","GSM748669",68.7507112703723,"male"
"94","GSM748670",57.7048895305241,"male"
"95","GSM748671",64.973853528291,"female"
"96","GSM748672",74.8872057352492,"male"
"97","GSM748673",64.859127730573,"male"
"98","GSM748674",48.1416576229198,"male"
"99","GSM748675",52.1980513001695,"male"
"100","GSM748676",53.4667746184901,"male"
"101","GSM748677",73.0767718272387,"male"
"102","GSM748678",70.7004852695205,"female"
"103","GSM748679",45.1733365716208,"female"
"104","GSM748680",53.1196311215712,"male"
"105","GSM748681",48.4480592856537,"female"
"106","GSM748682",63.9168084347701,"male"
"107","GSM748683",70.598913327348,"female"
"108","GSM748684",52.1258456721109,"male"
"109","GSM748685",54.6872885682514,"male"
"110","GSM748686",60.1956030762214,"male"
"111","GSM748687",74.6027656480556,"female"
"112","GSM748688",71.8446568563972,"male"
"113","GSM748689",52.1656799888843,"male"
"114","GSM748690",63.3607358708346,"male"
"115","GSM748691",61.6307009074954,"male"
"116","GSM748692",62.4634798237532,"female"
"117","GSM748693",81.972564385751,"male"
"118","GSM748694",65.5295897740726,"female"
"119","GSM748695",52.8351857419829,"female"
"120","GSM748696",78.845088911017,"male"
"121","GSM748697",47.7784626444634,"male"
"122","GSM748698",79.8073828894092,"male"
"123","GSM748699",71.8974082518969,"female"
"124","GSM748700",54.8351332266477,"male"
"125","GSM748701",46.599443852737,"male"
"126","GSM748702",52.5692540461578,"male"
"127","GSM748703",60.2299123378914,"female"
"128","GSM748704",58.12551614748,"male"
"129","GSM748705",50.9221546840784,"male"
"130","GSM748706",66.0360364995921,"female"
"131","GSM748707",75.6980753467725,"female"
"132","GSM748708",69.710714814598,"female"
"133","GSM748709",49.0159774327252,"female"
"134","GSM748710",61.8251324787393,"male"
"135","GSM748711",51.6454475375967,"female"
"136","GSM748712",74.7479112016815,"male"
"137","GSM748713",53.9323674201529,"male"
"138","GSM748714",67.5131771823913,"female"
"139","GSM748715",43.391630327509,"female"
"140","GSM748716",51.9726180801104,"male"
"141","GSM748717",60.003355221262,"male"
"142","GSM748718",84.3776711676781,"female"
"143","GSM748719",57.4731735695349,"male"
"144","GSM748720",77.7261497019161,"male"
"145","GSM748721",45.1107536918824,"female"
"146","GSM748722",58.6593967478986,"male"
"147","GSM748723",50.0652990718691,"male"
"148","GSM748724",74.273020931473,"female"
"149","GSM748725",78.4371064336967,"female"
"150","GSM748726",64.4886369246116,"male"
"151","GSM748727",54.9647481868596,"male"
"152","GSM748728",38.0325577507032,"male"
"153","GSM748729",34.9269904980673,"male"
"154","GSM748730",68.6819854410784,"male"
"155","GSM748731",54.4547241415037,"male"
"156","GSM748732",68.730341316075,"male"
"157","GSM748733",77.1848379138986,"male"
"158","GSM748734",61.6005387309816,"male"
"159","GSM748735",64.6834823845775,"male"
"160","GSM748736",64.7101474830705,"male"
"161","GSM748737",61.3532621033576,"male"
"162","GSM748738",48.1762147148342,"male"
"163","GSM748739",64.8809655517702,"male"
"164","GSM748740",59.5486229470812,"female"
"165","GSM748741",66.8913986496475,"female"
"166","GSM748742",67.2173583794326,"male"
"167","GSM748743",54.8165737338901,"male"
"168","GSM748744",50.5568862313476,"male"
"169","GSM748745",41.1904011338889,"male"
"170","GSM748746",71.7537459649244,"male"
"171","GSM748747",54.1784496542267,"male"
"172","GSM748748",49.0389566720458,"male"
"173","GSM748749",55.3239608213701,"male"
"174","GSM748750",71.8355094549083,"male"
"175","GSM748751",62.8442884688074,"female"
"176","GSM748752",70.4634279420168,"male"
"177","GSM748753",57.5220220187801,"female"
"178","GSM748754",57.3251040275061,"male"
"179","GSM748755",73.4797107898296,"male"
"180","GSM748756",82.52055635795,"male"
"181","GSM748757",47.4271770604907,"male"
"182","GSM748758",53.9819957311296,"female"
"183","GSM748759",53.0196286654113,"female"
"184","GSM748760",64.7279843380853,"male"
