"","Bcell","CD4T","CD8T","Gran","Mono","NK"
"GSM1218373",0,0.407686412829539,-5.50690467985631e-17,0.426753152426597,0.346044341110711,0.117206968809541
"GSM1218374",0,0.371631367505542,-4.26058897485832e-17,0.486246769270317,0.312302980468227,0.120518353953229
"GSM1218375",0,0.409198091046174,-4.67541841112859e-17,0.366061881036455,0.356521148518804,0.138624986635854
"GSM1218376",0,0.404385347554522,-4.90766574450954e-17,0.372136241359143,0.314064071540898,0.199972646724144
"GSM1218377",0,0.408628948711028,-4.92729378822405e-17,0.401202229603649,0.318225976613105,0.154109606285467
"GSM1218378",0,0.408590738605398,-4.24107254850554e-17,0.416169133083764,0.338748732028184,0.119568408879731
"GSM1218379",0,0.46670094688513,-4.37477786542058e-17,0.351908982126162,0.278007219599502,0.172333524885448
"GSM1218380",0,0.404480913923754,-5.1062695919102e-17,0.451869698921111,0.313259743759953,0.130746281586661
"GSM1218381",0,0.413441488062254,-3.96445983484943e-17,0.379346038658923,0.336292165866492,0.166877587222638
"GSM1218382",0,0.381698763851776,-4.18725472666678e-17,0.403262774345654,0.342074838935719,0.152731948920349
"GSM1218383",0,0.380663625828649,-4.85384857808037e-17,0.459911006025933,0.306495568412117,0.145387684658247
"GSM1218384",0,0.382371139293824,-5.36146151392373e-17,0.475498698444968,0.279217773095349,0.150712450681287
"GSM1218385",0,0.376496554727273,-4.34945886886897e-17,0.431450402320554,0.326977735868711,0.16828074034953
"GSM1218386",0,0.433062791917844,-4.77861557785379e-17,0.413659249765993,0.285150560239047,0.164567341629643
"GSM1218387",0,0.36454271509154,-4.57273483743039e-17,0.375855549457536,0.324897511210099,0.212298750014772
"GSM1218388",0,0.434084403448985,-4.22721824408593e-17,0.369492264723803,0.322511061445239,0.1541872753349
"GSM1218389",0,0.403981207450019,-4.32053678256719e-17,0.406696677348936,0.332521992661327,0.150677712629853
"GSM1218390",-2.77555756156289e-17,0.4356330838248,-4.39074313919942e-17,0.384332484227294,0.321951773888136,0.142987087643673
"GSM1218391",0,0.385537095975738,-4.38527470182777e-17,0.433926162199349,0.325619096370584,0.152118369591682
"GSM1218392",2.77555756156289e-17,0.37560178550641,-3.75583229216439e-17,0.495176767876283,0.261589057066019,0.163312090772964
"GSM1218393",0,0.387251580521811,-2.68985504479388e-16,0.411646067943271,0.381805453040928,0.104005563574572
"GSM1218394",0,0.455351509089103,-5.59792537507595e-17,0.343662903213695,0.363150488820616,0.116250264830908
"GSM1218395",0,0.456060894663841,-4.68926347543362e-17,0.37354824145395,0.320431614112578,0.143442349881191
"GSM1218396",0,0.386090823995143,-4.87260325725545e-17,0.400183612454848,0.354070334437317,0.150230617195848
"GSM1218397",0,0.474674090920021,-3.06650323098385e-17,0.322060010175664,0.262479692943776,0.203116136130915
"GSM1218398",0,0.413447232545666,-4.56728199258391e-17,0.433809770594214,0.307843657037252,0.140622733111231
"GSM1218399",0,0.42788430245186,-4.37425294389913e-17,0.405669817595994,0.289885538541855,0.164102697630253
"GSM1218400",0,0.402166369610268,1.79132227497818e-16,0.437005226877456,0.30518726157403,0.150229848474222
"GSM1218401",0,0.398315132788255,-4.26721993230443e-17,0.393805920147528,0.335413624986731,0.163319746787614
"GSM1218402",0,0.460039477433233,-3.25466720074832e-17,0.353424417675974,0.307077662952917,0.157580380674585
"GSM1218403",0,0.394198387246819,-3.76495217183956e-17,0.378841471630685,0.334223852928854,0.193466459825173
"GSM1218404",0,0.384208661869708,-3.11540801355115e-17,0.365421879010426,0.367663651854523,0.173993540937664
"GSM1218405",0,0.350169568906563,-5.58614759353919e-17,0.385185210437332,0.347608867065706,0.195056108802009
"GSM1218406",0,0.373899738568377,-4.36838814058228e-17,0.372378934011693,0.346269476568686,0.196559722144168
"GSM1218407",0,0.400536957306735,-2.54406301538551e-16,0.416668940158429,0.350641146547974,0.124960608480542
"GSM1218408",0,0.44381544010299,-2.78666796249271e-17,0.379512012277868,0.357002073935757,0.101722767994859
"GSM1218409",0,0.405064617928263,-4.7447488234037e-17,0.43489644807817,0.303843269714719,0.152818743537744
"GSM1218410",0,0.409619765470317,-4.74089580676637e-17,0.405674526903153,0.342299574258666,0.139393071223173
"GSM1218411",0,0.405581488056507,-5.58495138408261e-17,0.454049225370736,0.301068721986846,0.145325814585701
"GSM1218412",0,0.443052972755087,-4.1653849545979e-17,0.392489637934482,0.268013422880648,0.187459024839338
"GSM1218413",0,0.452829636571617,-4.05796835613706e-17,0.332076449031595,0.28917922227447,0.193570567640032
"GSM1218414",0,0.356490263899967,-4.80280938873354e-17,0.39388633510105,0.374661627970385,0.161710973660779
"GSM1218415",0,0.40727264099937,-2.73395928258387e-16,0.352484547415697,0.429137696318095,0.0967369304053183
"GSM1218416",0,0.396492381437055,-4.35080638613923e-17,0.407472713139009,0.332138346400175,0.149822782735796
"GSM1218417",0,0.481601619311042,-4.91500212764786e-17,0.352736174199662,0.292894049427788,0.135647679106667
"GSM1218418",0,0.4491300255691,-4.08051148092888e-17,0.367986486846267,0.317992375865526,0.147900619620487
"GSM1218419",2.77555756156289e-17,0.289778363417594,-4.00211653411047e-17,0.483314807557938,0.364910974067524,0.132949093647143
"GSM1218420",5.55111512312578e-17,0.389040450633802,1.60085923787177e-16,0.424071220822905,0.350102976843042,0.132066024022125
"GSM1218421",0,0.420480389442408,-4.093784190989e-17,0.391233081165022,0.336548140352384,0.136045489463486
"GSM1218422",0,0.423500746026415,-4.56467269518694e-17,0.409927437338738,0.306142131360729,0.148495165682918
"GSM1218423",0,0.397144639909546,-3.60697671042136e-17,0.369689859478322,0.380862096957721,0.134615871635734
"GSM1218424",0,0.394883145012258,-4.50716154811167e-17,0.404375086635487,0.325338924599238,0.162916964586337
"GSM1218425",0,0.413986008480805,-4.62731984033393e-17,0.434502484976018,0.297271980673025,0.150154268511034
"GSM1218426",0,0.394099845197923,-4.24882759005487e-17,0.406830175339189,0.333244746063836,0.158774730168491
"GSM1218427",0,0.385645903844375,1.70067382873052e-16,0.454271190601651,0.326419927625617,0.126114639055603
"GSM1218428",0,0.367640197126976,-2.71261154716808e-16,0.40377159805467,0.364638437368838,0.147115536663538
"GSM1218429",0,0.394767077410236,-4.387928536122e-17,0.431732096484963,0.306935178868839,0.145678213300207
"GSM1218430",0,0.397000968309494,-4.45482226583112e-17,0.388106876989344,0.335021590249589,0.165174069181349
"GSM1218431",0,0.422363164847104,-3.47300983982614e-17,0.377162775625131,0.322738565846798,0.16079267260371
