"","Bcell","CD4T","CD8T","Gran","Mono","NK"
"GSM748577",0,0.425943698974795,-3.66401574728985e-17,0.368871170632777,0.319828429689818,0.179574432706534
"GSM748578",0,0.406863657033865,-4.483239987725e-17,0.434633183985656,0.299523240538881,0.157267171782856
"GSM748579",-2.77555756156289e-17,0.417132331058129,-4.0331621530323e-17,0.394126070461307,0.318565727373974,0.167161531329354
"GSM748580",0,0.290676197552527,-3.11908562177234e-17,0.433532262825924,0.363955984994201,0.221585667636607
"GSM748581",-2.77555756156289e-17,0.386481126403231,-4.33388206894257e-17,0.438911075106482,0.307331284095012,0.170639648373782
"GSM748582",0,0.410074620066377,-4.37705070052043e-17,0.404861466981508,0.319716662468318,0.165389717106695
"GSM748583",0,0.410572885608059,-4.01237557430589e-17,0.4023458570787,0.285122405091032,0.192545738546177
"GSM748584",0,0.326808903659892,-3.81691276960837e-17,0.480883682199719,0.329183422161887,0.163531385161556
"GSM748585",0,0.382759248051848,-4.09687329681659e-17,0.46232118557866,0.324593895712078,0.133114666274296
"GSM748586",0,0.421696719750799,-4.9508057981373e-17,0.420006999680657,0.295165602643026,0.175124174701036
"GSM748587",0,0.389472103953579,-3.8298316164416e-17,0.384407307375633,0.329350227937871,0.193518436162679
"GSM748588",-2.77555756156289e-17,0.397947570787649,-4.04179812613995e-17,0.470307711301761,0.339928105946809,0.0837421561491496
"GSM748589",0,0.417481887045534,-3.98491909869495e-17,0.38150083752386,0.329426212513883,0.168518833098244
"GSM748590",0,0.43572958057768,-3.83007290020153e-17,0.393428514485743,0.332236733006575,0.135350160925692
"GSM748591",0,0.425953548400265,-3.94425817941086e-17,0.40889783364709,0.305997823589405,0.157181760495693
"GSM748592",2.77555756156289e-17,0.415839290919162,-4.15940277775785e-17,0.389503386723366,0.31748486044131,0.171330971216697
"GSM748593",-2.77555756156289e-17,0.406350968388192,-4.16999151666602e-17,0.446758166215633,0.324977998590145,0.142699698849156
"GSM748594",0,0.445100334279635,-4.6948135980924e-17,0.397100119659751,0.296588078984077,0.160649896979689
"GSM748595",2.77555756156289e-17,0.39192683952641,-3.77739913823107e-17,0.395055981751431,0.345761587399572,0.165466323763192
"GSM748596",0,0.407420234985606,-4.42051958608865e-17,0.437717173138996,0.324524208936399,0.140585230269583
