"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ID","CHR","MAPINFO","UCSC_RefGene_Name","UCSC_CpG_Islands_Name"
"cg00461841",0.0527017280345062,0.626324890214761,8.04335747234889,9.52588713472969e-15,1.99016415593722e-10,21.0194177785332,"cg00461841","16",10523485,"ATF7IP2",""
"cg06572974",0.0683759848545455,0.764422911236312,7.9703390072279,1.59124023022085e-14,1.99016415593722e-10,20.5127921864627,"cg06572974","15",93442219,"CHD2;CHD2",""
"cg20695587",0.0249554268410653,0.722791367803487,6.24145714939516,1.08462067549636e-09,9.04356719228862e-06,9.56685549389076,"cg20695587","4",68995759,"TMPRSS11F",""
"cg26413827",0.0248516875007607,0.140752781981623,6.14133094013256,1.93884856788119e-09,1.2124589519245e-05,8.9987243500263,"cg26413827","13",72441184,"DACH1;DACH1;DACH1;DACH1;DACH1;DACH1","chr13:72439362-72440059"
"cg09918512",0.0328034406736375,0.840345783365732,6.06575445997618,2.99113473827443e-09,1.32939335303665e-05,8.57495317354747,"cg09918512","11",107326471,"CWF19L2","chr11:107328441-107328691"
"cg19437319",-0.0185329328048403,0.807954997624907,-6.054539158715,3.1887583426161e-09,1.32939335303665e-05,8.51243995540407,"cg19437319","8",126096148,"KIAA0196",""
"cg16050349",0.0214761920971927,0.618826868889923,5.89696952039776,7.75707788211583e-09,2.77193637347493e-05,7.64442330438614,"cg16050349","3",138478129,"PIK3CB",""
"cg20150565",0.0267802642258125,0.203164350867448,5.85293117932154,9.91191883840187e-09,3.0992092227973e-05,7.40527317989678,"cg20150565","20",47893859,"C20orf199;C20orf199;ZNFX1;C20orf199","chr20:47894197-47895199"
"cg01171858",-0.0252003971515772,0.74714588828308,-5.82742150784611,1.14165667042953e-08,3.17304443934715e-05,7.26743628100006,"cg01171858","16",31494347,"SLC5A2",""
"cg01605517",-0.0213381418646251,0.716273567605868,-5.69754104597989,2.32658683757162e-08,5.31671491883621e-05,6.57358164199295,"cg01605517","1",247081873,"AHCTF1",""
"cg23414431",-0.0191287050557989,0.793329156101076,-5.69663655588947,2.33804525894292e-08,5.31671491883621e-05,6.56879631144892,"cg23414431","15",42640283,"GANC;CAPN3;CAPN3;CAPN3",""
"cg06597095",0.0229371161697697,0.657470374484735,5.54137333164156,5.38372333051931e-08,0.000110894858546651,5.7569991140975,"cg06597095","5",43480361,"C5orf28","chr5:43483519-43484555"
"cg00406188",-0.0293142513997284,0.65814616151358,-5.52853629263074,5.76330519351746e-08,0.000110894858546651,5.69074260916069,"cg00406188","1",152647216,"LCE2C",""
"cg03535648",0.0414250808016764,0.723410784255268,5.37221070751201,1.30782735928554e-07,0.000233671382608347,4.89454864006924,"cg03535648","12",102592479,"PMCH",""
"cg19170321",-0.0147341746811099,0.798390618608596,-5.3487215913555,1.47676257288152e-07,0.000240340211079,4.77662523504515,"cg19170321","15",42640316,"GANC;CAPN3;CAPN3;CAPN3;CAPN3",""
"cg02659086",-0.00561424912626747,0.0442533701357191,-5.34010463550081,1.54389868389073e-07,0.000240340211079,4.73347777564925,"cg02659086","11",67350976,"GSTP1","chr11:67350928-67351953"
"cg05244766",0.0228905453526419,0.829780923183942,5.32916627013188,1.63339873204725e-07,0.000240340211079,4.67879354513056,"cg05244766","11",67350499,"GSTP1","chr11:67350928-67351953"
"cg23519969",0.016477205617047,0.78969040426231,5.26614140732476,2.25585261786504e-07,0.000313488318795978,4.36561651308413,"cg23519969","3",39371797,"CCR8",""
"cg10789261",-0.0189219227407728,0.684619962499692,-5.2311277878231,2.69540604079009e-07,0.000354857298443806,4.19303583935507,"cg10789261","10",931643,"LARP4B",""
"cg13236637",-0.00633274169817176,0.0473419203990977,-5.18058458481148,3.47927527484478e-07,0.000435152958624837,3.94568784881532,"cg13236637","12",27175529,"MED21","chr12:27175342-27175843"
"cg10741369",0.0181746630080628,0.136986315803197,5.14647639122759,4.12865532347404e-07,0.000491781829816094,3.77995967583496,"cg10741369","5",180633326,"TRIM7;TRIM7","chr5:180630981-180632569"
"cg11554507",-0.0200423777496689,0.786323823352292,-5.01278766694083,8.00282860057043e-07,0.000892842501391906,3.13967777790217,"cg11554507","7",31380572,"NEUROD6",""
"cg20879768",-0.0204622605872493,0.783911326851718,-5.00448225242061,8.33482434843545e-07,0.000892842501391906,3.10039115930094,"cg20879768","18",44562136,"KATNAL2;TCEB3B","chr18:44561025-44561822"
"cg24494008",0.0210641038140587,0.125627225629266,4.99089506305732,8.90684814020187e-07,0.000892842501391906,3.03624475663342,"cg24494008","3",160116838,"IFT80;SMC4","chr3:160117012-160118878"
"cg03998348",-0.0237563849177882,0.721606289056551,-4.99051395137766,8.92342789429826e-07,0.000892842501391906,3.03444771795542,"cg03998348","15",38227285,"TMCO5A",""
"cg15661409",-0.0200799937828717,0.734342747388136,-4.94815583557699,1.0964391698148e-06,0.00102854883688829,2.83547625936328,"cg15661409","14",57960976,"C14orf105",""
"cg13450057",0.0298702615367453,0.782402627322935,4.94374175831885,1.12013502317347e-06,0.00102854883688829,2.81482825891652,"cg13450057","4",2231660,"HAUS3;POLN",""
